upstream;category;cve;fork;fix_sha;filepath;tipo;auto_status;sim_ast;gt_label;gt_confidence;is_removal_patch;lines_checked;lines_present;lines_absent;evidence_file
element-hq/synapse;server;CVE-2026-45078;guillemo12/synapse;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;synapse/handlers/worker_lock.py;L2_CORRIGIDO;CORRIGIDO;0.998;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2026-45078/guillemo12_synapse_3f58bc50_synapse_handlers_worker_lock.py
element-hq/synapse;server;CVE-2026-45078;Buzzlabs/synapse;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;synapse/handlers/worker_lock.py;VULNERAVEL;VULNERAVEL;0.822;CONFIRMED_VULNERABLE;0.0667;False;15;1;14;evidencias_gt_dissertacao/CVE-2026-45078/Buzzlabs_synapse_3f58bc50_synapse_handlers_worker_lock.py
element-hq/synapse;server;CVE-2026-45078;AliAbutorabi/Synapse;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;synapse/handlers/worker_lock.py;L2_CORRIGIDO;CORRIGIDO;0.998;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2026-45078/AliAbutorabi_Synapse_3f58bc50_synapse_handlers_worker_lock.py
element-hq/synapse;server;CVE-2026-45078;guillemo12/synapse;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;tests/handlers/test_worker_lock.py;L2_CORRIGIDO;CORRIGIDO;0.8738;CONFIRMED_PATCHED;0.9333;False;15;14;1;evidencias_gt_dissertacao/CVE-2026-45078/guillemo12_synapse_3f58bc50_tests_handlers_test_worker_lock.py
element-hq/synapse;server;CVE-2026-45078;Buzzlabs/synapse;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;tests/handlers/test_worker_lock.py;VULNERAVEL;VULNERAVEL;0.5412;AMBIGUOUS;0.5333;False;15;8;7;evidencias_gt_dissertacao/CVE-2026-45078/Buzzlabs_synapse_3f58bc50_tests_handlers_test_worker_lock.py
element-hq/synapse;server;CVE-2026-45078;AliAbutorabi/Synapse;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;tests/handlers/test_worker_lock.py;L2_CORRIGIDO;CORRIGIDO;0.9307;CONFIRMED_PATCHED;0.9333;False;15;14;1;evidencias_gt_dissertacao/CVE-2026-45078/AliAbutorabi_Synapse_3f58bc50_tests_handlers_test_worker_lock.py
element-hq/synapse;server;CVE-2025-61672;guillemo12/synapse;26aaaf9e48fff80cf67a20c691c75d670034b3c1;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.861;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/guillemo12_synapse_26aaaf9e_synapse_rest_client_keys.py
element-hq/synapse;server;CVE-2025-61672;Buzzlabs/synapse;26aaaf9e48fff80cf67a20c691c75d670034b3c1;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.9611;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/Buzzlabs_synapse_26aaaf9e_synapse_rest_client_keys.py
element-hq/synapse;server;CVE-2025-61672;AliAbutorabi/Synapse;26aaaf9e48fff80cf67a20c691c75d670034b3c1;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.861;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/AliAbutorabi_Synapse_26aaaf9e_synapse_rest_client_keys.py
element-hq/synapse;server;CVE-2025-61672;guillemo12/synapse;26aaaf9e48fff80cf67a20c691c75d670034b3c1;tests/rest/client/test_keys.py;L2_CORRIGIDO;CORRIGIDO;0.6061;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2025-61672/guillemo12_synapse_26aaaf9e_tests_rest_client_test_keys.py
element-hq/synapse;server;CVE-2025-61672;Buzzlabs/synapse;26aaaf9e48fff80cf67a20c691c75d670034b3c1;tests/rest/client/test_keys.py;L2_CORRIGIDO;CORRIGIDO;0.9575;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2025-61672/Buzzlabs_synapse_26aaaf9e_tests_rest_client_test_keys.py
element-hq/synapse;server;CVE-2025-61672;AliAbutorabi/Synapse;26aaaf9e48fff80cf67a20c691c75d670034b3c1;tests/rest/client/test_keys.py;L2_CORRIGIDO;CORRIGIDO;0.6061;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2025-61672/AliAbutorabi_Synapse_26aaaf9e_tests_rest_client_test_keys.py
element-hq/synapse;server;CVE-2025-61672;guillemo12/synapse;7069636c2d6d1ef2022287addf3ed8b919ef2740;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.8637;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/guillemo12_synapse_7069636c_synapse_rest_client_keys.py
element-hq/synapse;server;CVE-2025-61672;Buzzlabs/synapse;7069636c2d6d1ef2022287addf3ed8b919ef2740;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.9645;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/Buzzlabs_synapse_7069636c_synapse_rest_client_keys.py
element-hq/synapse;server;CVE-2025-61672;AliAbutorabi/Synapse;7069636c2d6d1ef2022287addf3ed8b919ef2740;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.8637;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/AliAbutorabi_Synapse_7069636c_synapse_rest_client_keys.py
